NO,文案
1,❤其实我挺想避风的，但是我没有港。
2,❤沉默不是没有情绪，而是没有再说的意义
3,❤为了避免结束，我避免了一切的开始
4,❤其实我心动了，但赶路要紧，我没有说
5,❤会想通，会看透，也会长记性
6,❤我已经没兴趣给别人留好印象了
7,❤都在权衡，都怕扑空
8,❤爱会在不见面的日子里被新事物冲淡吧
9,❤长大是个很难过的词
10,❤距离不仅产生美，还有疏远和背离
11,❤事不会压垮人，但是情绪会
12,❤突如其来的脾气往往积攒了很多的委屈
13,❤女孩子最爱说反话，男孩子却都当真了
14,❤其实你刷的从来都不是文案，而是自己的影子
15,❤如果第一选择不是我，那就永远别是我
16,❤我宁愿把自己折磨死，也不希望你是别人的
17,❤时间在走，很多事情都在慢慢接受
18,❤所有的热情都会在等待和失望中消失
19,❤太敏感的人永远感受不到爱
20,❤好像什么都来得及，又好像什么都无能为力
21,❤不顺路了吗，那祝你平安
22,❤故事都和朋友讲烂了，蕞终还是意难平
23,❤猝不及防的心动从一开始就覆水难收
24,❤我真的没有精力去描述我的不开心
25,❤不被重视的每一秒，我都在慢慢退后
26,❤仙人掌做不了花，没办法让人捧在手心
27,❤保持快乐的秘诀：没必要，无所谓，不至于
28,❤该失望的事从来没辜负过我
29,❤人和人之间，没感情的时候才讲理
30,❤我不想成为任何人的一时之需
31,❤你也故意晚回他的消息，你以为这样就扯平了吗？
32,❤可惜书里没有记载什么是爱
33,❤我们总以为清者自清，却忘了人言可畏
34,❤懂事就行了，你管我经历了什么
35,❤如果你也见到了这场雨，那就当我们见过面吧
36,❤始终相信世界最稳固的关系是各取所需
37,❤要有勇气成为他人的过去
38,❤我不仅没有爱，我还质疑所有爱
39,❤可惜生活不是电影，没人等你三五年
40,❤主动是我对热爱东西表达的极限
41,❤我总是碰到没有结果的人和事
42,❤心动才是这场错误的开始
43,❤你一定不懂那种看清了，还想继续喜欢的感觉
44,❤什么都会结束，就是烦恼没完没了
45,❤压抑情绪这件事，越来越顺手了
46,❤取消了置顶之后，才发现你排在了最后
47,❤开心就好，不用在意我的感受，我没感受
48,❤你总是道听途说，你怎么不直接问我
49,❤见一面都很难的人，居然还想着有以后
50,❤每一个决定转身的人，都在风里站了很久
51,❤在爱时说的话，只在爱时作数
52,❤怕什么来什么，盼什么没什么
53,❤去吹吹风吧，能醒的话，感冒也没关系
54,❤这个世界从不缺让人心动的新鲜感
55,❤后来你知道治愈你的不是时间，而是明白
