NO,情感
44,"不管生活会不会变好，
     你都要开心呀，
     保持真诚勇敢善良，
     一如既往。"
45,"""无论我活成什么鬼样子
我都相信自己前途无量"" ​​​​"
46,"""无论我活成什么鬼样子
我都相信自己前途无量"" ​​​​"
47,"等春风拂尽人间长留，
你要记得和心上人去白头。 ​​​​"
48,女孩子少想一点真的会快乐很多很多
49,其实最催泪的情书 是聊天记录 聊天记录是最不能翻的东西 翻开就知道两个人 是怎样从无话不说到无话可说 从未放弃过爱你 只是从浓烈变得悄无声息 ​​​​
50,对的人就算分开后再转一圈还是会重逢的吧 ​​​​
51,“ 有趣的单身，胜过将就的爱情。” ​​​​
52,“ 生活就是这样，别人只看结果，自己独撑过程。” ​​​​
53,没有谁会喜欢孤独，只是害怕失望 ​​​​
54,我要的是坚定的选择，而不是权衡利弊后的怜悯。
55,哭着吃过饭的人，是能够走下去的。
56,我们在同一时区，却有着一辈子的时差。
57,如果你认识从前的我，那么就会原谅现在的我。
58,很多时候，沉默并非是无话可说， 而是一言难尽。
59,我们都曾经渴望爱情是一场盛宴，最后想要的是一家子的寻常晚饭。
60,“你是经历了多少委屈，才有了那一身好脾气。” ​​​​
61,不开心的时候，尽量少说话多睡觉，也只有夜晚一床温暖的棉被和一个好梦，才可以慰藉每天有太多不如意的我们。 ​​​​
62,"除了电影里，
没有人会等你四五年。
说白了，感情就是不联系就没有的东西了。 ​​​​"
63,别否定自己，你特别好，特别温柔，特别值得。
64,一个人的自愈的能力越强，才越有可能接近幸福。 ​​​​
65,"等过了这个坎
一切都会变好的 超好 爆好 无敌好 ​​​​"
66,人心都是慢慢打开的，建立在足够多的陪伴和信任上，但人心也是一瞬间关闭的，有过任何一次失望，就再也不会如开始那样无条件信任了。 ​​​​
67,“因为感觉不到被爱，所以做了那个先走的人” ​​​​
68,人是有多狼狈，才被觉得需要有同类。 ​ ​​​ ​​​​
69,"生活的要义，就是满怀兴趣地活在这个世界上。
睁大你的眼睛，从你所遇到的每一个人身上看到各种可能性——看到人性。"
70,"""世界上有一种人间疾苦叫做”我想你“。 ​​​​"
71,"我人生一世，
也不过是一个又一个二十四小时的叠加，
在这样宝贵的光阴里，
我必须明白自己的选择。"
72,“ 有两种阶段你必须度过：难过的事情找不到人倾诉；开心的事情找不到人分享。”
73,"希望你能成为高尚的人
希望你对这个世界
对生而为人这件事抱有了不起的想法
并能按自己的想法活着"" ​​​​"
74,""" 不开心是最可怕的催老剂 要做一个爱笑的小仙女 "" ​​​​"
75,“ 值得让你熬夜的人，怎么舍得让你熬夜。” ​​​​
76,不去整天患得患失，想那些有的没的，爱我的人必然会把我放在心上， 因为他不忍看到我难过，是我的别人抢不走，不是我的我抢不来。
77,我的东西是我的。我给你，你可以拿着，我不给，你不该怨我，更不能抢，对你好应该珍惜，而不是觉得理所当然。太多人不明白这个道理。 ​​​​
78,别总因为迁就别人就委屈自己，这个世界没几个人值得你总弯腰 。弯腰的时间久了，只会让人习惯于你的低姿态，你的不重要 。 ​​​​
79,"自尊心大过爱
没人愿意先妥协
都在等着对方先服软
于是等着等着就散了 ​​​​"
80,"你总会遇到一个人，恰如其分的适合你
                不用刻意迁就
                可以任性撒娇
         相爱并且默契，你要等"
81,“世人贪婪  总想寻找两全，但这世间难有什么两全之策，人生百年，不过是教人如何取舍。” ​​​​
82,"有些事放开就好 看开就好
不必计较太多
心宽 就是对自己最好的礼物。"
83,人不必太美，只要有人深爱。人不必太富，只要过得温暖。
84,"""
  辜负了十几岁的日子
  就别再糟蹋二十岁的人生了
  给三十岁的自己一条活路吧"" ​​​​"
85,"""
  辜负了十几岁的日子
  就别再糟蹋二十岁的人生了
  给三十岁的自己一条活路吧"" ​​​​"
86,"你有你的路，我有我的路。
至于适当的路、
正确的路和唯一的路，
这样的路并不存在。"
87,"不要眼眶一红
就觉得人间不值得
散伙是人间常态
你我又不是什么例外"
88,最美的事不是留住时光，而是留住记忆。真正的强大，不是原谅别人，而是放过自己。
89,我可能不完美，但是我至少不虚伪。
90,每个人都有情绪化的时候 可不要把自己的情绪乱发在别人身上 别人没欠你什么 愿你学会冷静
91,你改变不了已经发生的，所以不要浪费时间想那么多了。前进，放手，忘了它，就这么回事。
92,不去整天患得患失，想那些有的没的，爱我的人必然会把我放在心上， 因为他不忍看到我难过，是我的别人抢不走，不是我的我抢不来。
93,被特别在乎的人忽略，会很难过，而更难过的是你还要装作你不在乎。
94,“当你看清了一个人而不揭穿， 你就懂得了原谅的意义； 讨厌一个人而不翻脸， 你就懂得了至极的尊重。 活着，总有你看不惯的人， 也有看不惯你的人。”
95,永远不要去羡慕别人的生活，即使那个人看起来快乐富足。永远不要去评价别人是否幸福，即使那个人看起来孤独无助。幸福如人饮水，冷暖自知。你不是我，怎知我走过的路，心中的乐与苦。 ​​​​
96,如果当初没有相遇，或许我不会是现在的我。在你的世界里，我笑过，痛过。如今，满身疲惫，带着自己的影子默默走出你的世界。不会再为你掉眼泪，不会再傻傻等你的电话，不会再苦苦求着你不要离开。爱若卑微，便不再是爱；爱若疼痛，就不叫爱。放手，是最好的解脱。
97,“你要学着 咽下一大段话和所有情绪，只用‘嗯’表达 你所有的想法。这并不是你 变得冷漠了，而是你学会了忍受。” ​​​​
98,如果有一天 ，你怪我没有好好爱着你 ，你要记得—— 是你没有好好珍惜过我。 谢谢你的无情 ，锻炼了我的绝望。。。
99,很多时候，心里明明不是那样想的，却控制不了自己而说出相反的话。究竟是我们太执着于所谓的自尊，还是我们都已经习惯了口是心非。
100,“虽然岁月磨平了我们的棱角，但内心住着的那个小孩还是不想长大。”
101,"生活需要热情，
更需要自律，积极和勤奋，
否则，生活只是日历上的天数 ​​​​"
