NO,情感
1,就因为太爱那个人，所以才没敢告诉他，你走之后我真想你啊。也因为你不会回来，所以我要努力克制自己，在回忆里做个体面人。
2,"真正爱你的人 
是在你最丑陋的时光里 
将你的好坏一并包容的人  ​​​​"
3,有时候，我们就像鱼缸里的鱼，想说的话很多，一开口就化成了一串省略号。。。。最后都默默的留在了心里。。。 ​​​​
4,习惯了不该习惯的习惯，却执着着不该执着的执着。有时候，在乎得太多，对自己而言也是一种折磨。 ​​​​
5,喜欢上你，并不是你长的好不好看的原因，而是你在特殊的时间里给了我别人给不了的感觉。
6,眼泪真正的作用是洗净眼睛，要你看清楚让你落泪的那个人。眼泪也是当你无法用嘴来解释你的心碎的时候，用眼睛表达情绪的唯一方式。 ​​​​
7,自己想要的东西，要么奋力直追，要么干脆放弃。别总是逢人就喋喋不休的表决心或者哀怨不断，做别人茶余饭后的笑点。 ​​​​
8,"""当你学会拒绝别人，学会以牙还牙时，他们反而会尊重你， 甚至敬畏你。我终于相信了那句话：无情一点并没有错。 "" ​​​​"
9,总是这样，一瞬间想通了，释然了，在下一秒又想不通了。大道理都懂，可小情绪却难自控。 ​​​​
10,你越在意什么，什么就越会折磨你。生活本就不易，不必渴求别人的理解和认同，静静的过自己的生活就好。心若不动，风又奈何，你若不伤，岁月无恙。
11,不要让期望你的人，等待太久。不要让嘲笑你的人，得意太久。不要让疼爱你的人，失望太久。 ​​​​
12,有时候，你的好，对别人来说就像一颗糖，吃了就没了。而你的不好，就像一道伤疤，会永远存在。这就是人性。 ​​​​
13,直到累了才发现，自己内心的天真与这冷酷的现实格格不入。不过我仍然不会放弃，一生难得坚持一种自己，任岁月洗劫，纯粹的人，永远颜如舜华。愿上天厚我，一直天真。 ​​​​
14,有些事，想多了头疼，想通了心疼。。所以，该睡就睡，该玩就玩。不必遗憾，若是美好，叫做精彩，若是糟糕，叫做经历。 ​​​​
15,等待不可怕，可怕的是不知道什么时候是尽头。爱错了，不要停留在原地，毫无期限的等待某人，等待的往往不是爱，而是纠缠虚耗。时间可以治愈一颗受伤的心，同样也可以撕裂一颗等待的心。 ​​​​
16,"""一个姑娘最酷的时候 就是只要知道了一段感情不合适 再难过也狠的下心说再见 再不舍也能假装洒脱大步向前 转身的一瞬间很孤单吧 可是你不知道你的背影有多好看"" ​​​​"
17,若总被忽视，又何必作贱了自己；若不被珍惜，又何必苦苦去维系。 ​​​​
18,买了就买了，不要去比价；吃了就吃了，不要去后悔；爱了就爱了，不要去猜疑；散了就散了，不要去诋毁。 ​​​​
19,明明想念得不得了  却还要装出一副很淡然的样子  自己想想都觉得心酸。 ​​​​
20,因为别人的评价，我们磨掉了多少棱角，丢掉了多少独一无二的性格；在乎的时间愈久，我们就会分不清生命究竟是活给自己看，还是活给别人看 。 ​​​​
21,要努力做一个可爱的人。不埋怨谁，不嘲笑谁，也不羡慕谁，阳光下灿烂，风雨中奔跑，做自己的梦，走自己的路！ ​​​​
22,比我差的人还没放弃，比我好的人仍在努力，我就更没资格说，我无能为力。
23,真正的爱情需要等待，谁都可以说爱你，但不是人人都能等你。
24,老天不给你困难，你又如何看透人心；老天不给你失败，你又如何发现身边的人是真是假；老天不给你孤独，你又如何反思自省；老天不给你生命中配上君子和小人，你又如何懂得提高智商！老天对我们每个人都是公平的，有人让你哭了，一定会有人让你笑。 ​​​​
25,每次想找个人陪的时候，就发现有的人不能找，有的人不该找，还有的人找不到。 ​​​​
26,“你要明白  再烫手的水还是会凉  再饱满的热情还是会退散  再爱的人也许会离开  所以你要乖 要长大   不再张口就是来日方长  而要习惯走人茶凉” ​​​​
27,现在的我，很相信顺其自然。别说我不在意，就算在意了又能怎样。我只不过是把一切看得更开了。 ​​​​
28,我们之间的关系有多脆弱呢，我只要关掉电脑关掉手机，可能你这辈子就再也不会联系到我了。 ​​​​
29,"不管你承不承认，
人确实是经历了一些事之后，
就悄悄换了一种性格。"
30,"人一辈子，走走瞧瞧，
吃吃喝喝，不生病，就是福气，
如果能遇到自己爱也爱自己的人，
再发点小财，就是天大的福气。"
31,纵使黑夜吞噬了一切，太阳还可以重新回来。
32,"因为孤独是生命的常态，
所以陪伴才显得格外珍贵。 ​​​​"
33,所有人的坚强，都是柔软生的茧。
34,"早晚有一天
那个你曾以为“非他不可”的人
终会变成“不过如此”的人。 ​​​​"
35,"生活有一点我不是太喜欢，
就是它总让更懂事的人，
来承担糟糕的感受和结果。 ​​​​"
36,希望你全心全意爱别人的时候，也能想起一下自己。
37,"所有成功的背后，
都是苦苦堆积的坚持；
所有人前的风光，
都是背后傻傻的不放弃。"
38,"“去见你的路上
  风是暖的
  雨是甜的 
  连云朵都是棉花糖的” ​​​​"
39,直到累了才发现，自己内心的天真与这冷酷的现实格格不入。不过我仍然不会放弃，一生难得坚持一种自己，任岁月洗劫，纯粹的人，永远颜如舜华。愿上天厚我，一直天真。 ​​​​ ​​​​
40,​“你要明白  再烫手的水还是会凉  再饱满的热情还是会退散  再爱的人也许会离开  所以你要乖 要长大   不再张口就是来日方长  而要习惯走人茶凉” ​​​​
41,现在的我，很相信顺其自然。别说我不在意，就算在意了又能怎样。我只不过是把一切看得更开了。
42,"不论以前什么关系，
已经疏远的人，
就不要再勉强。"
43,放弃对所有人的期待，才是安稳的。
